userEmail,startDate,endDate
kobi.dodson@mail.com,2019-04-07T09:14:54Z,2019-04-07T10:14:54Z
kobi.dodson@mail.com,2019-04-08T09:14:54Z,2019-04-08T10:14:54Z
kobi.dodson@mail.com,2019-04-09T09:14:54Z,2019-04-09T10:14:54Z
kobi.dodson@mail.com,2019-04-10T09:14:54Z,2019-04-10T10:14:54Z
tahlia.duggan@mail.com,2019-04-07T10:14:54Z,2019-04-07T11:14:54Z
tahlia.duggan@mail.com,2019-04-08T10:14:54Z,2019-04-08T11:14:54Z
tahlia.duggan@mail.com,2019-04-09T10:14:54Z,2019-04-09T11:14:54Z
tahlia.duggan@mail.com,2019-04-10T10:14:54Z,2019-04-10T11:14:54Z
mahlia.frey@mail.com,2019-04-07T11:14:54Z,2019-04-07T12:14:54Z
mahlia.frey@mail.com,2019-04-08T11:14:54Z,2019-04-08T12:14:54Z
